id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-06-19T07:09:49;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-06-19T03:53:34;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-06-19T15:07:28;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-06-19T11:26:14;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-06-18T22:56:53;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-06-18T19:36:51;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-06-19T10:44:51;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-06-19T07:20:20;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-06-19T05:29:48;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-06-19T18:26:35;82260;30326
